,Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,ABBENUM
9300,0.0,0.0,13.0,3.0,7.0,0.0,10.0,0.0,3.0,0.1,0.0,18.0,16.5,0.0,24.9,0.0,4.5,0.0,50.7
9301,0.0,0.0,12.4,0.0,21.9,0.0,25.6,0.0,0.0,0.1,0.0,15.0,0.0,4.8,20.2,0.0,0.0,0.0,35.20000000000001
9303,0.0,0.0,12.26,0.0,4.09,0.0,6.13,0.0,0.0,0.0,0.0,28.59,17.88,0.0,26.45,0.0,4.6,0.0,50.5
9305,0.0,0.0,7.7,0.0,7.7,5.0,11.5,0.0,0.0,0.1,0.0,14.2,6.3,0.0,39.5,5.0,3.0,0.0,46.2
9306,0.0,0.0,13.0,0.0,7.0,0.0,10.0,0.0,0.0,0.1,0.0,33.0,4.0,0.0,22.9,0.0,10.0,0.0,46.9
9308,0.5,7.519999999999999,0.0,0.0,3.01,7.519999999999999,0.0,0.0,0.0,0.0,0.0,1.25,12.04,0.0,55.12,9.03,4.01,0.0,46.5
9309,0.49,6.86,0.98,0.0,3.43,7.84,0.0,0.0,0.0,0.49,0.0,0.98,12.24,0.0,53.47,9.79,3.43,0.0,46.8
9312,0.0,6.44,0.0,0.0,5.94,8.91,0.0,0.0,0.0,0.5,0.0,0.9900000000000002,13.86,0.0,54.94,6.93,1.49,0.0,47.0
9313,0.0,4.98,0.0,0.0,9.45,8.96,0.0,0.0,0.0,0.5,0.0,1.0,13.72,0.0,54.92,4.98,1.49,0.0,47.0
9317,0.0,7.5,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.5,0.0,2.0,13.0,0.0,52.0,8.0,2.0,0.0,46.0
9318,1.9,0.0,11.3,1.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,14.3,5.4,14.9,45.2,2.7,0.0,0.0,52.5
9327,0.5,0.0,8.0,0.0,5.0,0.0,31.9,0.0,0.0,0.1,0.0,20.0,13.0,0.0,20.0,1.0,0.5,0.0,35.20000000000001
9328,9.5,0.0,0.5,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,40.0,3.5,0.5,0.0,35.20000000000001
9329,5.0,0.0,8.0,0.0,7.0,0.0,32.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,30.0,3.0,4.0,0.0,39.9
9330,10.0,0.0,0.5,0.0,0.0,0.0,41.5,0.0,4.0,0.0,0.0,10.0,0.0,0.0,33.0,0.0,1.0,0.0,32.6
9334,0.5,0.0,1.3,14.0,0.0,0.0,45.0,0.0,0.0,0.2,0.0,6.0,0.0,0.0,32.0,0.0,1.0,0.0,30.6
9337,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,22.7,21.5,5.0,37.8,0.0,0.0,0.0,61.4
9338,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,22.55,22.05,3.69,36.83,0.0,0.0,0.0,61.0
9339,8.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44,0.0,0.0,21.94,22.43,3.59,38.53,0.0,0.0,0.0,61.3
9340,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,0.0,0.0,21.58,22.09,4.62,37.93,0.0,0.0,0.0,61.0
9341,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,22.44,0.0,3.67,37.15,0.0,21.94,0.0,59.6
9342,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,21.5,21.7,4.5,37.4,0.0,0.0,0.0,60.9
9343,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,23.5,24.5,2.2,33.7,0.0,0.0,0.0,61.1
9344,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.03,0.01,0.0,27.59,0.0,3.02,39.67,0.0,17.62,0.0,61.4
9345,8.529999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.2,0.0,24.07,16.15,3.01,37.9,0.0,5.02,0.0,61.3
9346,7.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.2,0.0,0.0,11.5,21.8,2.0,47.2,1.5,0.0,0.0,59.5
9347,0.5,7.519999999999999,0.0,0.0,3.01,7.519999999999999,0.0,0.0,0.0,0.0,0.0,1.25,12.04,0.0,55.12,9.03,4.01,0.0,46.5
9348,0.49,6.86,0.98,0.0,3.43,7.84,0.0,0.0,0.0,0.49,0.0,0.98,12.24,0.0,53.47,9.79,3.43,0.0,46.8
9351,0.0,6.44,0.0,0.0,5.94,8.91,0.0,0.0,0.0,0.5,0.0,0.9900000000000002,13.86,0.0,54.94,6.93,1.49,0.0,47.0
9352,0.0,4.98,0.0,0.0,9.45,8.96,0.0,0.0,0.0,0.5,0.0,1.0,13.72,0.0,54.92,4.98,1.49,0.0,47.0
9355,0.0,8.699999999999998,0.0,0.0,5.8,7.74,0.0,0.0,0.0,0.0,0.0,1.55,14.51,0.0,50.29,10.64,0.0,0.0,44.5
9356,0.0,7.5,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.5,0.0,2.0,13.0,0.0,52.0,8.0,2.0,0.0,46.0
9357,0.0,0.0,0.0,0.0,13.08,0.0,0.0,0.0,21.31,0.0,0.0,0.0,0.0,0.0,33.72,19.56,11.67,0.0,53.1
9358,0.0,0.0,0.0,0.0,8.96,0.0,0.0,0.0,21.62,0.0,0.0,0.0,0.0,0.0,43.32,13.48,12.05,0.0,57.0
9359,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,53.35,13.92,8.31,0.0,56.4
9360,4.63,0.0,8.99,0.0,9.79,0.0,0.0,0.0,15.28,0.0,0.0,0.0,0.0,0.0,60.74,0.0,0.0,0.0,56.8
9362,10.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,0.0,80.51999999999998,3.34,0.0,0.0,62.2
9363,0.0,0.0,2.9,0.0,14.42,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,58.38,7.26,10.14,0.0,58.6
9364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,7.389999999999999,0.0,0.0,53.37,0.0,21.84,0.0,60.9
9366,0.0,2.66,0.0,0.0,3.85,0.0,0.0,0.0,0.0,0.0,0.0,16.17,0.0,0.0,76.0,1.32,0.0,0.0,59.3
9367,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,8.12,0.0,0.0,11.4,2.38,0.0,70.81999999999998,0.0,0.89,0.0,64.0
9370,0.0,0.0,0.0,0.0,9.83,0.0,0.0,0.0,0.0,0.0,0.0,20.45,0.0,0.0,46.55,14.71,8.46,0.0,62.0
9371,0.0,0.0,0.0,0.0,9.33,0.0,0.0,0.0,15.63,0.0,0.0,18.56,0.0,0.0,45.51,10.97,0.0,0.0,63.4
9377,0.0,0.0,0.0,0.0,17.87,0.0,0.0,0.0,29.51,0.0,0.0,0.0,0.0,0.0,52.21,0.0,0.01,0.0,58.8
9378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,54.28,23.61,0.009952,0.0,57.1
9379,0.0,0.0,0.0,0.0,13.95,0.01,0.0,0.0,35.46,0.0,0.0,0.0,0.0,0.0,50.27,0.0,0.01,0.0,56.9
9380,0.0,0.0,0.0,0.0,9.38,0.0,0.0,0.0,22.02,0.0,0.0,0.0,0.0,0.0,50.49,0.0,17.61,0.0,58.6
9381,0.0,0.0,0.0,0.009981,4.67,0.009981,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,53.07,6.96,12.69,0.0,60.6
