Li2O,ZnO,TiO2,ZrO2,CaO,Nb2O5,Nb2O3,Al2O3,B2O3,Sb2O3,BaO,La2O3,SrO,SiO2,Na2O,PbO,Y2O3,K2O,RI
0.0,1.48,0.0,0.0,1.69,0.0,0.0,5.05,18.68,0.0,37.07,0.0,0.0,36.02,0.0,0.0,0.0,0.0,1.589
1.95,1.59,0.0,0.0,1.83,0.0,0.0,5.46,20.19,0.0,30.04,0.0,0.0,38.93,0.0,0.0,0.0,0.0,1.5779999
4.25,1.73,0.0,0.0,1.99,0.0,0.0,5.94,21.96,0.0,21.79,0.0,0.0,42.34,0.0,0.0,0.0,0.0,1.568
6.98,1.9,0.0,0.0,2.18,0.0,0.0,6.51,24.07,0.0,11.94,0.0,0.0,46.41,0.0,0.0,0.0,0.0,1.5549999
10.3,2.1,0.0,0.0,2.42,0.0,0.0,7.2,26.63,0.0,0.0,0.0,0.0,51.35,0.0,0.0,0.0,0.0,1.5420001
0.0,1.56,0.0,0.0,1.79,0.0,0.0,5.35,19.77,0.0,29.43,0.0,0.0,38.13,3.96,0.0,0.0,0.0,1.5730000000000002
0.0,1.66,0.0,0.0,1.91,0.0,0.0,5.68,21.0,0.0,20.83,0.0,0.0,40.5,8.42,0.0,0.0,0.0,1.558
0.0,1.77,0.0,0.0,2.03,0.0,0.0,6.06,22.39,0.0,11.11,0.0,0.0,43.18,13.47,0.0,0.0,0.0,1.541
0.0,1.89,0.0,0.0,2.18,0.0,0.0,6.49,23.98,0.0,0.0,0.0,0.0,46.24,19.23,0.0,0.0,0.0,1.525
0.0,1.53,0.0,0.0,1.76,0.0,0.0,5.24,19.38,0.0,28.83,0.0,0.0,37.36,0.0,0.0,0.0,5.9,1.5630000000000002
0.0,1.59,0.0,0.0,1.83,0.0,0.0,5.44,20.12,0.0,19.96,0.0,0.0,38.8,0.0,0.0,0.0,12.26,1.5430000000000001
0.0,1.65,0.0,0.0,1.9,0.0,0.0,5.66,20.93,0.0,10.38,0.0,0.0,40.35,0.0,0.0,0.0,19.13,1.5230000000000001
0.0,1.72,0.0,0.0,1.98,0.0,0.0,5.9,21.8,0.0,0.0,0.0,0.0,42.03,0.0,0.0,0.0,26.57,1.5030000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.37,0.0,0.0,0.0,0.0,78.51,10.12,0.0,0.0,0.0,1.4980000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.78,0.0,0.0,0.0,0.0,62.33,9.89,0.0,0.0,0.0,1.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.54,0.0,0.0,0.0,0.0,53.69,9.77,0.0,0.0,0.0,1.485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.52,0.0,0.0,0.0,0.0,36.95,9.53,0.0,0.0,0.0,1.484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38,0.0,0.0,0.0,0.0,65.67,11.95,0.0,0.0,0.0,1.5039999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,73.26,12.59,0.0,0.0,0.0,1.508
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,72.21,13.09,0.0,0.0,0.0,1.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,50.52,12.98,0.0,0.0,0.0,1.501
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.04,0.0,0.0,0.0,0.0,53.23,13.73,0.0,0.0,0.0,1.5089999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,68.06,15.04,0.0,0.0,0.0,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.74,0.0,0.0,0.0,0.0,57.45,14.82,0.0,0.0,0.0,1.515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.39,0.0,0.0,0.0,0.0,42.13,14.48,0.0,0.0,0.0,1.505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.35,0.0,0.0,0.0,0.0,61.73,15.92,0.0,0.0,0.0,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,64.55,16.7,0.0,0.0,0.0,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89,0.0,0.0,0.0,0.0,66.07,17.04,0.0,0.0,0.0,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.13,0.0,0.0,0.0,0.0,68.27,17.61,0.0,0.0,0.0,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.62,0.0,0.0,0.0,0.0,62.91,17.47,0.0,0.0,0.0,1.521
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.01,0.0,0.0,0.0,0.0,49.85,17.14,0.0,0.0,0.0,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,70.48,18.18,0.0,0.0,0.0,1.5119999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,74.96,19.33,0.0,0.0,0.0,1.5030000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,59.84,18.92,0.0,0.0,0.0,1.5230000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,0.0,0.0,0.0,0.0,57.8,19.87,0.0,0.0,0.0,1.524
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,55.77,20.83,0.0,0.0,0.0,1.526
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,52.74,22.26,0.0,0.0,0.0,1.527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.53,0.0,0.0,0.0,0.0,51.74,22.73,0.0,0.0,0.0,1.527
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.59,0.0,0.0,0.0,0.0,49.73,23.68,0.0,0.0,0.0,1.528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.65,0.0,0.0,0.0,0.0,47.73,24.62,0.0,0.0,0.0,1.528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.28,0.0,0.0,0.0,0.0,42.76,26.96,0.0,0.0,0.0,1.528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.88,0.0,0.0,0.0,0.0,37.84,29.28,0.0,0.0,0.0,1.528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,0.0,0.0,0.0,0.0,31.41,32.3,0.0,0.0,0.0,1.525
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,74.58,0.0,0.0,0.0,14.62,1.5030000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,71.53,0.0,0.0,0.0,16.37,1.507
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.28,0.0,0.0,0.0,0.0,68.76,0.0,0.0,0.0,17.97,1.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.67,0.0,0.0,0.0,0.0,63.12,0.0,0.0,0.0,21.21,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72,0.0,0.0,0.0,0.0,58.31,0.0,0.0,0.0,23.97,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99,0.0,0.0,0.0,0.0,57.67,0.0,0.0,0.0,24.34,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.63,0.0,0.0,0.0,0.0,56.17,0.0,0.0,0.0,25.2,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,0.0,0.0,0.0,0.0,54.48,0.0,0.0,0.0,26.17,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.11,0.0,0.0,0.0,0.0,50.32,0.0,0.0,0.0,28.56,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,0.0,0.0,0.0,0.0,48.28,0.0,0.0,0.0,29.74,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.41,0.0,0.0,0.0,0.0,47.27,0.0,0.0,0.0,30.32,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.84,0.0,0.0,0.0,0.0,46.27,0.0,0.0,0.0,30.9,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.68,0.0,0.0,0.0,0.0,44.28,0.0,0.0,0.0,32.04,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.56,0.0,0.0,0.0,0.0,37.51,0.0,0.0,0.0,35.93,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.67,0.0,0.0,0.0,0.0,47.87,0.0,0.0,0.0,37.46,1.515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,0.0,0.0,43.14,0.0,0.0,0.0,33.82,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,33.17,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.46,0.0,0.0,0.0,0.0,39.58,0.0,0.0,0.0,30.96,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.13,0.0,0.0,0.0,0.0,59.02,0.0,0.0,0.0,30.84,1.5119999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,58.32,0.0,0.0,0.0,30.43,1.5130000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.46,0.0,0.0,0.0,0.0,56.84,0.0,0.0,0.0,29.7,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.35,0.0,0.0,0.0,0.0,39.18,0.0,0.0,0.0,20.47,1.501
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,69.5,0.0,0.0,0.0,27.28,1.499
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0,0.0,0.0,0.0,68.11,0.0,0.0,0.0,26.7,1.5030000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0,67.17,0.0,0.0,0.0,26.4,1.5039999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43,0.0,0.0,0.0,0.0,65.04,0.0,0.0,0.0,25.53,1.5089999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,64.4,0.0,0.0,0.0,25.24,1.51
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,61.26,0.0,0.0,0.0,23.94,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.51,0.0,0.0,0.0,0.0,60.7,0.0,0.0,0.0,23.79,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,0.0,0.0,59.39,0.0,0.0,0.0,23.35,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.08,0.0,0.0,0.0,0.0,58.85,0.0,0.0,0.0,23.07,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.0,0.0,0.0,0.0,57.92,0.0,0.0,0.0,22.77,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.64,0.0,0.0,0.0,0.0,57.01,0.0,0.0,0.0,22.34,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.18,0.0,0.0,0.0,0.0,55.91,0.0,0.0,0.0,21.91,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,0.0,0.0,0.0,0.0,54.71,0.0,0.0,0.0,21.48,1.5130000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,0.0,0.0,53.34,0.0,0.0,0.0,20.91,1.5130000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.42,0.0,0.0,0.0,0.0,50.68,0.0,0.0,0.0,19.9,1.507
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84,0.0,0.0,0.0,0.0,49.69,0.0,0.0,0.0,19.47,1.5039999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,47.33,0.0,0.0,0.0,18.48,1.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.11,0.0,0.0,0.0,0.0,43.65,0.0,0.0,0.0,14.24,1.4869999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.99,0.0,0.0,0.0,0.0,35.21,0.0,0.0,0.0,13.8,1.4859999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,68.58,0.0,0.0,0.0,18.92,1.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.76,0.0,0.0,0.0,0.0,67.61,0.0,0.0,0.0,18.62,1.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.86,0.0,0.0,0.0,0.0,67.39,0.0,0.0,0.0,18.75,1.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,27.38,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.52,0.0,0.0,0.0,0.0,42.32,0.0,0.0,0.0,33.17,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.54,0.0,0.0,0.0,0.0,32.84,0.0,0.0,0.0,38.62,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77,0.0,0.0,0.0,0.0,50.58,0.0,0.0,0.0,39.65,1.5130000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.65,0.0,0.0,0.0,0.0,47.28,0.0,0.0,0.0,37.06,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,0.0,0.0,0.0,0.0,46.04,0.0,0.0,0.0,36.15,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.58,0.0,0.0,0.0,0.0,45.04,0.0,0.0,0.0,35.37,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.26,0.0,0.0,0.0,0.0,44.14,0.0,0.0,0.0,34.6,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.98,0.0,0.0,0.0,0.0,40.9,0.0,0.0,0.0,32.12,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.73,0.0,0.0,0.0,0.0,37.75,0.0,0.0,0.0,29.52,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.38,0.0,0.0,0.0,0.0,33.98,0.0,0.0,0.0,26.64,1.511
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.07,0.0,0.0,0.0,0.0,62.41,0.0,0.0,0.0,32.52,1.505
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,0.0,61.25,0.0,0.0,0.0,31.96,1.507
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46,0.0,0.0,0.0,0.0,57.52,0.0,0.0,0.0,30.02,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48,0.0,0.0,0.0,0.0,56.2,0.0,0.0,0.0,29.32,1.516
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.19,0.0,0.0,0.0,0.0,55.76,0.0,0.0,0.0,29.05,1.517
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.41,0.0,0.0,0.0,0.0,54.24,0.0,0.0,0.0,28.35,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,0.0,0.0,0.0,0.0,53.11,0.0,0.0,0.0,27.66,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,0.0,0.0,52.39,0.0,0.0,0.0,27.38,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,0.0,0.0,51.42,0.0,0.0,0.0,26.83,1.52
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.07,0.0,0.0,0.0,0.0,49.93,0.0,0.0,0.0,26.0,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,0.0,0.0,0.0,0.0,49.13,0.0,0.0,0.0,25.59,1.5190001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.99,0.0,0.0,0.0,0.0,47.98,0.0,0.0,0.0,25.03,1.518
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.31,0.0,0.0,0.0,0.0,45.77,0.0,0.0,0.0,23.92,1.515
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62,0.0,0.0,0.0,0.0,43.57,0.0,0.0,0.0,22.81,1.5089999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.22,0.0,0.0,0.0,0.0,63.11,0.0,0.0,0.0,24.67,1.5130000000000001
