Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,RI
0.0,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59999999999998,0.0,0.0,0.0,1.482
0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.5,0.0,0.0,0.0,1.491
0.0,0.0,0.0,0.0,25.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.40999999999998,0.0,0.0,0.0,1.498
0.0,0.0,0.0,0.0,30.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.34,0.0,0.0,0.0,1.503
0.0,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.29,0.0,0.0,0.0,1.507
0.0,0.0,0.0,0.0,40.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.25,0.0,0.0,0.0,1.511
0.0,0.0,0.0,0.0,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23,0.0,0.0,0.0,1.514
0.0,0.0,0.0,0.0,50.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.22,0.0,0.0,0.0,1.517
5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6,0.0,0.0,0.0,1.474
7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.51,0.0,0.0,0.0,1.484
9.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.93,0.0,0.0,0.0,1.491
11.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.94,0.0,0.0,0.0,1.5
14.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78,0.0,0.0,0.0,1.511
16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.93,0.0,0.0,0.0,1.518
17.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.43,0.0,0.0,0.0,1.524
19.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.11,0.0,0.0,0.0,1.532
22.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.31999999999998,0.0,0.0,0.0,1.542
24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.44,0.0,0.0,0.0,1.547
26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.76,0.0,0.0,0.0,1.549
27.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.87999999999998,0.0,0.0,0.0,1.553
29.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.75,0.0,0.0,0.0,1.555
33.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.79,0.0,0.0,0.0,1.559
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.458
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.72,0.0,47.26,0.0,0.0,0.0,31.02,0.0,0.0,0.0,1.686
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.01,0.0,39.95,0.0,0.0,0.0,35.04,0.0,0.0,0.0,1.658
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,0.0,0.0,48.98,29.77,0.0,0.0,0.0,1.68
